Date,Open,High,Low,Close,Adj Close,Volume
13-Aug-18,339.89,347.19,339.07,341.31,341.31,"6,888,900"
10-Aug-18,346.91,349.1,344.42,345.87,345.87,"4,328,400"
9-Aug-18,347.96,352.44,345.82,349.36,349.36,"4,820,300"
8-Aug-18,352.21,352.29,346.61,347.61,347.61,"5,394,700"
7-Aug-18,353.23,357.31,349.01,351.83,351.83,"7,970,900"
6-Aug-18,342.87,351.98,341.74,350.92,350.92,"8,198,100"
3-Aug-18,347.75,347.86,338.48,343.09,343.09,"8,848,400"
2-Aug-18,337.23,345,334.71,344.5,344.5,"7,131,300"
1-Aug-18,335.87,344.41,334.02,338.38,338.38,"7,790,500"
31-Jul-18,331.51,342.5,328,337.45,337.45,"14,085,400"
30-Jul-18,351.93,352.03,334.02,334.96,334.96,"18,260,700"
27-Jul-18,366.85,367,351.65,355.21,355.21,"8,949,500"
26-Jul-18,358.19,365.54,356.63,363.09,363.09,"6,993,700"
25-Jul-18,357.57,363.28,355.65,362.87,362.87,"8,467,800"
24-Jul-18,366.94,367.4,354.56,357.32,357.32,"12,851,500"
23-Jul-18,359.15,363.9,353.6,362.66,362.66,"11,505,200"
20-Jul-18,364.92,370.5,360.14,361.05,361.05,"15,096,700"
19-Jul-18,371.06,375.75,363,364.23,364.23,"16,878,700"
18-Jul-18,381.24,383.13,372.36,375.13,375.13,"21,746,300"
17-Jul-18,346.95,385,344,379.48,379.48,"58,410,400"
16-Jul-18,398.98,403.36,391.75,400.48,400.48,"22,960,000"
13-Jul-18,409.19,410,395.08,395.8,395.8,"15,719,000"
12-Jul-18,415.16,416.79,407.8,413.5,413.5,"12,743,300"
11-Jul-18,411.34,419.77,410.6,418.65,418.65,"9,713,900"
10-Jul-18,417.24,419.44,413.08,415.63,415.63,"9,382,900"
9-Jul-18,415.95,419.12,411.1,418.97,418.97,"11,127,500"
6-Jul-18,397.45,408.65,395.52,408.25,408.25,"8,629,600"
5-Jul-18,393.8,399.24,390.86,398.39,398.39,"8,448,900"
3-Jul-18,399.49,399.98,389.5,390.52,390.52,"5,280,300"
2-Jul-18,385.45,398.38,380,398.18,398.18,"8,142,500"
29-Jun-18,399.19,401.33,390.55,391.43,391.43,"9,252,500"
28-Jun-18,395,396.9,387.1,395.42,395.42,"12,219,900"
27-Jun-18,407.56,411.59,390,390.39,390.39,"16,541,400"
26-Jun-18,393.28,404.78,389.05,399.39,399.39,"15,191,200"
25-Jun-18,404.69,405.99,378.75,384.48,384.48,"22,490,900"
22-Jun-18,419.98,420.5,409.65,411.09,411.09,"10,428,600"
21-Jun-18,421.38,423.21,406.37,415.44,415.44,"18,389,900"
20-Jun-18,415.15,419.47,409.6,416.76,416.76,"16,494,600"
19-Jun-18,389.5,405.29,388.5,404.98,404.98,"16,697,100"
18-Jun-18,387.72,393.16,386.5,390.4,390.4,"6,824,800"
15-Jun-18,390.71,398.86,387.51,391.98,391.98,"13,588,100"
14-Jun-18,384.27,395.03,383.25,392.87,392.87,"14,598,300"
13-Jun-18,367.53,384.25,364.11,379.93,379.93,"18,222,800"
12-Jun-18,363.6,365.98,362,363.83,363.83,"4,291,000"
11-Jun-18,361.88,365.67,360.91,361.45,361.45,"4,432,400"
8-Jun-18,358.06,362.39,356.25,360.57,360.57,"5,225,700"
7-Jun-18,368.54,368.7,357.8,361.4,361.4,"8,278,000"
6-Jun-18,367.78,369.68,363.33,367.45,367.45,"7,712,300"
5-Jun-18,363.32,369.83,361.41,365.8,365.8,"8,358,000"
4-Jun-18,362.68,363,355.51,361.81,361.81,"7,682,000"
1-Jun-18,353.88,359.99,352.82,359.93,359.93,"7,112,300"
31-May-18,353.8,355.53,350.21,351.6,351.6,"6,921,700"
30-May-18,352.37,354,349.26,353.54,353.54,"5,685,500"
29-May-18,351.5,356.1,346.71,349.73,349.73,"9,717,900"
25-May-18,349.9,354.36,348.83,351.29,351.29,"7,817,400"
24-May-18,344.34,354,341.12,349.29,349.29,"14,758,600"
23-May-18,329.04,345,328.09,344.72,344.72,"10,049,100"
22-May-18,334.05,336.63,331.15,331.62,331.62,"5,964,400"
21-May-18,327.11,331.88,325.45,331.82,331.82,"6,657,300"
18-May-18,324.9,326.42,322.8,324.18,324.18,"3,577,700"
17-May-18,327.53,330.45,323.17,325.22,325.22,"4,935,700"
16-May-18,326.28,329.72,325.14,328.19,328.19,"3,671,700"
15-May-18,325.94,326.94,322.43,326.13,326.13,"4,746,100"
14-May-18,327.25,330.5,327.04,328.53,328.53,"4,089,800"
11-May-18,329.65,331.26,324.87,326.46,326.46,"4,589,700"
10-May-18,331.5,332.06,327.34,329.6,329.6,"5,302,300"
9-May-18,328.79,331.95,327.51,330.3,330.3,"5,633,400"
8-May-18,325.9,327.35,323.05,326.89,326.89,"4,735,700"
7-May-18,321.99,329.02,319.34,326.26,326.26,"7,117,800"
4-May-18,308.71,320.98,307.67,320.09,320.09,"8,209,500"
3-May-18,312.59,312.59,305.73,311.69,311.69,"6,135,800"
2-May-18,311.65,317.1,310.4,313.36,313.36,"5,697,100"
1-May-18,310.36,313.48,306.69,313.3,313.3,"6,036,600"
30-Apr-18,311.07,317.88,310.12,312.46,312.46,"6,088,800"
27-Apr-18,316.25,317.45,306.5,311.76,311.76,"7,074,400"
26-Apr-18,310,316.63,305.58,313.98,313.98,"9,266,700"
25-Apr-18,306.37,309.98,292.62,305.76,305.76,"14,919,700"
24-Apr-18,319.22,320.25,302.31,307.02,307.02,"13,893,200"
23-Apr-18,329.15,331.22,317.08,318.69,318.69,"8,968,000"
20-Apr-18,332.22,336.51,326,327.77,327.77,"9,158,700"
19-Apr-18,332.88,335.31,326.77,332.7,332.7,"8,438,800"
18-Apr-18,336.3,338.82,331.1,334.52,334.52,"11,221,100"
17-Apr-18,329.66,338.62,323.77,336.06,336.06,"33,866,500"
16-Apr-18,315.99,316.1,304,307.78,307.78,"20,307,900"
13-Apr-18,317.29,317.49,308.23,311.65,311.65,"12,046,600"
12-Apr-18,309.72,311.13,306.75,309.25,309.25,"10,249,400"
11-Apr-18,302.88,311.64,301.82,303.67,303.67,"14,877,400"
10-Apr-18,297.68,298.95,291.69,298.07,298.07,"10,660,500"
9-Apr-18,291.77,299.55,289.12,289.93,289.93,"9,853,600"
6-Apr-18,289.1,298.85,285.65,288.85,288.85,"11,444,800"
5-Apr-18,293.15,299.16,289.11,293.97,293.97,"10,655,200"
4-Apr-18,273.63,290.31,271.22,288.94,288.94,"12,914,000"
3-Apr-18,285.45,291.25,278.01,283.67,283.67,"12,694,900"
2-Apr-18,291.94,292.87,275.05,280.29,280.29,"13,405,800"
29-Mar-18,287,295.35,275.9,295.35,295.35,"19,145,500"
28-Mar-18,298.39,298.8,281.61,285.77,285.77,"18,972,900"
27-Mar-18,322.49,322.9,297,300.69,300.69,"12,068,600"
26-Mar-18,309.36,321.03,302,320.35,320.35,"11,988,300"
23-Mar-18,307.41,309.37,300.36,300.94,300.94,"9,529,900"
22-Mar-18,313.07,314.12,305.66,306.7,306.7,"8,063,300"
21-Mar-18,316.35,319.4,314.51,316.48,316.48,"5,263,900"
20-Mar-18,313.26,319.5,312.8,317.5,317.5,"5,991,900"
19-Mar-18,315.8,317,307.34,313.48,313.48,"9,925,200"
16-Mar-18,321.42,324.11,318.37,318.45,318.45,"7,333,700"
15-Mar-18,323.17,323.4,318.14,321.09,321.09,"5,642,900"
14-Mar-18,318.16,323.88,317.7,321.55,321.55,"10,475,100"
13-Mar-18,323.87,325.84,313.28,315.88,315.88,"12,917,200"
12-Mar-18,333.56,333.98,318.6,321.3,321.3,"20,369,200"
9-Mar-18,321.33,331.44,320.23,331.44,331.44,"14,500,200"
8-Mar-18,322.2,322.92,314.13,317,317,"11,340,100"
7-Mar-18,320,323.74,314.55,321.16,321.16,"17,132,200"
6-Mar-18,319.88,325.79,316.5,325.22,325.22,"18,525,800"
5-Mar-18,302.85,316.91,297.6,315,315,"18,986,100"
2-Mar-18,284.65,301.18,283.23,301.05,301.05,"13,345,300"
1-Mar-18,292.75,295.25,283.83,290.39,290.39,"11,932,100"
28-Feb-18,293.1,295.75,290.78,291.38,291.38,"7,653,500"
27-Feb-18,294.77,297.36,290.59,290.61,290.61,"9,416,500"
26-Feb-18,288.75,295.65,287.01,294.16,294.16,"10,268,600"
23-Feb-18,281,286,277.81,285.93,285.93,"7,301,800"
22-Feb-18,283.88,284.5,274.45,278.14,278.14,"8,891,500"
21-Feb-18,282.07,286.64,280.01,281.04,281.04,"9,371,100"
20-Feb-18,277.74,285.81,276.61,278.55,278.55,"7,769,000"
16-Feb-18,278.73,281.96,275.69,278.52,278.52,"8,312,400"
15-Feb-18,270.03,280.5,267.63,280.27,280.27,"10,759,700"
14-Feb-18,260.47,269.88,260.33,266,266,"10,972,000"
13-Feb-18,257.29,261.41,254.7,258.27,258.27,"6,855,200"
12-Feb-18,252.14,259.15,249,257.95,257.95,"8,534,900"
9-Feb-18,253.85,255.8,236.11,249.47,249.47,"16,906,900"
8-Feb-18,267.08,267.62,250,250.1,250.1,"9,306,700"
7-Feb-18,266.58,272.45,264.33,264.56,264.56,"8,981,500"
6-Feb-18,247.7,266.7,245,265.72,265.72,"12,595,800"
5-Feb-18,262,267.9,250.03,254.26,254.26,"11,896,100"
2-Feb-18,263,270.62,262.71,267.43,267.43,"9,123,600"
1-Feb-18,266.41,271.95,263.38,265.07,265.07,"9,669,000"
31-Jan-18,281.94,282.29,269.58,270.3,270.3,"11,695,100"
30-Jan-18,277,282.73,272.7,278.8,278.8,"12,482,900"
29-Jan-18,274.2,286.81,273.92,284.59,284.59,"17,529,700"
26-Jan-18,271.49,274.6,268.76,274.6,274.6,"11,021,800"
25-Jan-18,263,272.3,260.23,269.7,269.7,"15,336,400"
